regWait,triageWait,doctorWait,LOS,ClerkUtil,NurseUtil,DoctorUtil,regWait_low,triageWait_low,doctorWait_low,LOS_low,regWait_medium,triageWait_medium,doctorWait_medium,LOS_medium,regWait_high,triageWait_high,doctorWait_high,LOS_high,scenario
9.166928305497262,0.20039314150228543,447.87186678823446,492.139746516657,0.39168614405301805,0.22084930945637077,1.0,6.651685946112814,0.29577591234966144,1037.282057261579,1066.5839002003281,12.268690062509739,0.10203819563043126,262.5381406865523,309.0035193911469,12.008538081215562,0.015554876727485123,10.386390248273884,75.79634765135597,n2d2
9.589527516568657,0.2408944831763804,439.07051604704293,483.8752150165545,0.39219995135830027,0.2246449416187636,0.9954625229860783,6.8518454728676454,0.3611613730452783,1029.7964227462996,1057.0166199576463,12.825489961497578,0.10046837723611693,268.7788358268185,316.1967610711868,13.211732601713628,0.07474083811170118,12.626161866833542,79.94889653347757,n2d2
6.797455591858062,0.18222943256388485,397.7956149732832,440.51258384795057,0.37905318719220166,0.21032684857306697,0.9936867367274551,5.074602521362275,0.2704507815497621,1106.9693067622322,1135.2740867278753,8.863870077834015,0.10132965768491972,219.96392385318478,262.8720718187422,8.244318757960578,0.015554876727485123,10.010810815378317,74.9843297627479,n2d2
7.640765313509426,0.18045916747405635,401.43871474662313,444.25915211361774,0.3833395462937831,0.2121751427739313,1.0,5.675959939667409,0.2661179064477726,1005.0053423865728,1033.1418872694453,10.019965649678605,0.09974638178359285,217.20187481069655,261.77778265261776,9.175994196694049,0.016591868509317466,8.337962373611724,72.17428254854977,n2d2
7.9907855843065665,0.17870593433464196,396.80684271649454,440.13373999246716,0.384068920702861,0.21366017724680633,0.9935643546840475,5.905776913796814,0.2629238275761986,1039.3675000364858,1066.6777195529155,10.366311433863583,0.09974638178359285,215.96934256947077,260.5831377999764,10.34716899960273,0.015554876727485123,11.770993501145744,78.43714613828736,n2d2
7.034411341598712,0.18261206141254277,417.86719189685687,460.39621810705796,0.37797559755446375,0.20900905099448452,0.9953362298463516,5.411440527927716,0.2711769067511925,976.2538291290358,1007.1230716403813,9.080963745823182,0.09974638178359285,231.03887295842108,274.5544709091346,7.932081244688879,0.016591868509317466,11.321305342971831,74.58093546724662,n2d2
6.508033346497419,0.17697252733925206,409.87708332059253,451.6128276006946,0.3724733440762106,0.21120141549559318,0.9954199094392409,5.097292876991097,0.25953638349668134,985.2028715305534,1013.4022605306102,8.324349216678376,0.09974638178359285,236.5452962060113,279.18951095717614,7.128812419462876,0.016591868509317466,14.018612854935911,78.16963272939954,n2d2
7.238937866222659,0.17687946560660087,418.04831238354683,460.74204758973565,0.3718734513520197,0.20929705093071574,1.0,5.503151910148829,0.26029800334673453,999.6917605467577,1031.3768646852857,9.345287573278359,0.09974638178359285,216.01477898172251,259.99670945355143,8.435123391751434,0.016591868509317466,12.280894362905368,73.13516874879129,n2d2
6.891628357422175,0.1748902694169783,424.68665192792156,467.0920993117871,0.3854083411163161,0.2164356248813196,1.0,5.370992839419365,0.2540147327671779,1080.0370621937104,1108.580335371069,8.8478745232982,0.09974638178359285,240.61718167226792,283.8826848975407,7.905337642309419,0.015554876727485123,14.10131498540564,77.32534386502972,n2d2
6.951281408271551,0.18047689312079665,393.50306862354535,435.7097688818739,0.38245733254576586,0.2116739689858725,0.992971600654665,5.244860205721513,0.26519942750694364,1013.1292541942277,1041.4120991670404,9.007039333106874,0.09974638178359285,208.35860573517562,252.38830800437245,8.326868973274195,0.016591868509317466,14.474266356090244,75.01555470173595,n2d2
8.086653413375775,0.17624051690100678,427.6605445287616,471.0359668662039,0.3890304385690243,0.21992987509186476,1.0,5.987034028237007,0.2517035973555733,1038.2509070281824,1066.2698703232122,10.707142530608623,0.10203819563043481,254.68410746415196,299.3047505442651,10.333639466848119,0.015554876727485123,12.871260756999568,79.0993821381312,n2d2
8.150152614923606,0.17812939343320264,416.51930384864755,459.5787209039906,0.38961833325077333,0.2192237034596004,0.9949141768575128,6.142948626617049,0.25831576198969214,988.8109013932349,1017.9354266209081,10.688803709042782,0.09974638178359285,234.70255656339054,279.8759174434647,9.913321919017108,0.015554876727485123,9.534790673597847,72.37349052060378,n2d2
