regWait,triageWait,doctorWait,LOS,ClerkUtil,NurseUtil,DoctorUtil,regWait_low,triageWait_low,doctorWait_low,LOS_low,regWait_medium,triageWait_medium,doctorWait_medium,LOS_medium,regWait_high,triageWait_high,doctorWait_high,LOS_high
9.166928305497262,0.20039314150228543,219.3412841646731,257.8789365052969,0.39168614405301805,0.22084930945637077,0.9188695537019896,6.651685946112814,0.29577591234966144,350.5944086661425,378.99865830776275,12.268690062509739,0.10203819563043126,77.22315218815082,123.43635128044338,12.008538081215562,0.015554876727485123,8.498385343289222,76.50092920256962
2.5018784485098013,0.5093845326791007,176.15234388097085,208.55952690305682,0.33795276553165265,0.2269946205426673,0.7919805395483422,2.9340214977486023,0.8135477977013655,288.7129099526051,314.8619481259854,1.8446694600669498,0.05835994313855727,13.868350216953793,51.508420142665045,2.07296871828582,0.1528922421431389,6.984016289150281,68.50349105073673
1.9375124748907477,0.7351765823221508,221.49489857230066,257.81257558521884,0.31014659735618955,0.25273542173366426,0.8888439692791744,1.7372309962914727,1.219429423897343,384.26483743745024,412.2615907506731,2.0505710592364927,0.23497055509963502,85.24653634794551,123.67652109793465,2.3028181933016043,0.3245139476434815,11.358821518244085,68.32664133372735
3.2624248255712875,0.2950930062240425,220.55501088855672,257.02925560888474,0.3779048562236828,0.25541744636139435,0.9661538294055196,3.463634580682101,0.39972868387447524,404.56303473828746,435.4374226715622,3.3308728113542125,0.20990107713691772,25.291938650341137,64.97976674256924,1.7762599257574494,0.061754313930661435,6.445741250626971,64.44427493487586
1.0883548253076896,0.10061437125812094,199.62477585369754,232.9082672720882,0.3154655956690666,0.22176035482145573,0.8577243878230932,1.2134284995786342,0.15316309115614815,367.84666229674616,393.83998362722286,1.0174471620844205,0.04819482863679476,18.733383806130526,56.60575401120302,0.6942099358853235,0.028763088393036793,8.527889944296314,65.8028777838469
3.7953356669433624,0.23930710331550387,223.01169591224317,257.5358620263351,0.3719963617258509,0.2360479980340477,0.9018748276946905,4.002027878257495,0.3707154733787044,360.77773464618747,389.93419947785964,3.4625425253354054,0.04330159185273963,23.45629624236087,62.26825239177782,3.693022478298737,0.09639040736197496,7.232472413425492,66.9667338616294
3.227834738673174,0.43305147197400035,352.298191601403,389.7721952946413,0.40606678329867213,0.29139290901885917,0.9947481481312099,2.8434725675944326,0.6639740760472598,636.9769981334081,665.9266726419188,3.5906605490178656,0.16086926310802901,74.54827708185624,117.61172745810747,3.908399400782406,0.20958811351760542,11.737284522237852,68.95485384339646
2.7392673139679857,0.4802012818636212,128.67281078938004,162.4292504293989,0.3216642650412323,0.21781378017027983,0.7464747681167062,1.6020886644008399,0.6331795227627538,216.227287842142,241.89982852544227,4.705086417565899,0.34528786749763896,10.453344700731268,51.36690980946206,2.457181896690637,0.0,5.447123531851029,64.98691700687117
4.806697220310658,0.4150236622345453,241.60504345353124,278.1769590536849,0.3585594718119949,0.23585619496193766,0.8540127558631574,4.655628348595477,0.5474502374851636,412.25714881365894,440.4093864842182,5.300255695146575,0.3006039113555283,40.785574021135375,84.6721299310249,3.6799778646717587,0.031856014363143004,10.125900504482038,70.00520737644233
1.9092711036524248,0.7719128751079127,300.3649041032671,335.3413367878097,0.31708996730100764,0.2457263680457355,0.9373713597603949,1.7416257346869828,0.9963079711917615,523.9633560331245,549.7747528059651,2.1077471111666117,0.6695824716280914,107.84716197956328,148.1572221343423,1.9465955792486032,0.17178330331847447,7.378553657396747,62.97870817567678
5.792430097795515,0.43906134014202874,386.8897702804432,426.98998733935235,0.4569219317823427,0.25695599617914994,0.9994689384638921,4.829943810119709,0.5739569118233521,737.8213347148949,770.1638849545717,6.939684677989643,0.18379999358975313,94.02476411083643,137.84775176403434,5.902584288076846,0.9114786702754551,6.834240880243967,70.785439328336
5.713514287806972,0.23285428549634057,191.6581477887369,227.5499766397186,0.34635057411076503,0.23095824231557296,0.8251568618387431,6.017621307052658,0.29761995738478164,276.32115155882366,307.7710612750727,5.128041241443016,0.09689548949995697,43.402124936083084,84.08931305920868,5.2375723849962075,0.17555074358728523,9.23738500923913,66.36099073625103
5.616157617188766,0.9523246384616729,417.5019100312211,456.9642615658399,0.4157016157711948,0.29813223194804767,0.9922910389608975,5.9643606398656255,1.1602617989900676,766.8602439542138,799.1426798081394,4.824026997038186,0.7984022611382319,74.1114046364619,116.89669095420415,6.320668779387284,0.18821927416065717,8.438583601299172,69.37805236707179
3.3629349912229975,0.39723017764504803,321.63221471812716,355.2963752911132,0.3817920871630091,0.23427195218343821,0.8977038929254736,3.5010215173518184,0.584192728935333,522.7021614192445,548.7907300154355,2.9659911132588697,0.13233609176291483,27.45180048014644,68.09650954673553,4.258458486943198,0.05619720939938588,7.868103533554768,76.74149826327307
14.433065287253264,0.4139131214706657,264.37116382704164,312.0475062041154,0.41534054461699177,0.2465941053561313,0.9601959305701185,11.644069205281355,0.4976832536424545,414.15693392262136,449.7625952276704,18.98165404194286,0.32753127394389847,87.10285350813345,143.19084117215252,16.665218391931063,0.26313610600342835,10.251517082155825,88.12070386321885
5.723351288344502,0.09528983494291468,290.42581255440797,329.151903344393,0.38771680918907675,0.24247420331915412,0.9493926482767153,6.014166726014509,0.14299122022732633,550.2468441039907,582.6319065612731,5.391687472077556,0.06269768662351842,36.57757116005569,78.76830682860552,5.583286550110128,0.0,9.700015461518339,64.83447667368813
2.5043052609022696,0.4457892566715777,244.74418883885366,279.6580351825157,0.3738847187160318,0.27890807003365514,0.8996069525578396,2.506694935243079,0.48202826718058195,427.77162373325035,454.57731256779454,2.3464383339367147,0.4762460678340517,37.11515662181867,77.63451217245844,3.121116299474193,0.10169608089978889,10.420982343141661,69.6064189714893
2.08019530899757,0.18260113384731774,267.48565689053675,300.91399413209297,0.36584993900953516,0.25068368438963007,0.9314058383566493,2.054551918466535,0.22358404820393815,463.5161817360532,489.3216551175127,2.121437301229323,0.143671695778469,15.855315045038264,55.00662279844133,2.0870497646822663,0.08434866670737552,9.181538706382794,65.79593246778674
5.793759667999881,0.7808933267759073,324.94482797734554,364.0644890083431,0.3972993649335708,0.28387874464235474,0.9899462792180046,5.682501029363094,0.9809673845614952,531.7286833755389,563.510559144651,6.528651688771441,0.6492639123927282,68.6201056813713,113.4748127615383,4.283602529268981,0.0,8.064298807889802,68.88410381940965
4.173733965553537,0.32173629009122895,218.02321966961424,253.43464177122866,0.37044304493276575,0.22057655335601495,0.8521853685387852,4.111800423529874,0.4420066235606196,373.3234925303958,401.4180005261267,4.596574043462203,0.16990682160120454,27.437952861872322,68.21453991060511,2.6194229036609045,0.16094381997664678,7.377532008539532,69.57965927361145
7.767771107668422,6.153932977010168,391.56016927636534,441.97214316064367,0.42680754025286655,0.3254438318297502,0.9979837734398679,6.237570875425334,9.538305943162973,716.1668847034406,759.0205556956282,9.750686676775857,2.964930756856867,188.92816714543483,239.1997164349411,8.921724546002721,0.8095291741239373,10.772737384746362,81.3879058915837
1.565339275925244,0.29407249778928535,225.1386210173576,259.918531653036,0.3321687136005516,0.2270382524950163,0.92543403372344,1.6840696285782923,0.4331966612805537,360.1075499814594,390.7745283749624,1.6882902902856334,0.09365895643764197,19.236171298927907,57.472074594967665,0.25285451910330126,0.012669811277594189,4.008216640797816,55.71666908304038
